freq_band,lda_shrinkage,n_csp_components,time_window,mean_accuracy,n_subjects
"[7, 30]",,8,"[1.0, 4.0]",0.5955555555555556,5
"[8, 13]",,6,"[1.0, 4.0]",0.5955555555555556,5
"[4, 40]",0.5,6,"[1.0, 4.0]",0.5955555555555555,5
"[13, 30]",auto,2,"[0.5, 4.0]",0.5955555555555555,5
"[13, 30]",0.5,6,"[1.0, 4.0]",0.5955555555555555,5
"[4, 40]",0.1,8,"[1.0, 4.0]",0.5955555555555555,5
"[4, 40]",0.1,4,"[0.5, 4.0]",0.5911111111111113,5
"[8, 13]",,8,"[1.0, 4.0]",0.5911111111111111,5
"[8, 13]",,2,"[1.0, 4.0]",0.5911111111111111,5
"[7, 30]",auto,8,"[1.0, 4.0]",0.5911111111111111,5
"[8, 13]",0.1,6,"[1.0, 4.0]",0.5911111111111111,5
"[7, 30]",0.1,6,"[1.0, 4.0]",0.591111111111111,5
"[4, 40]",0.5,4,"[0.5, 4.0]",0.591111111111111,5
"[13, 30]",0.5,2,"[1.0, 4.0]",0.5866666666666667,5
"[8, 13]",,2,"[0.5, 4.0]",0.5866666666666667,5
"[13, 30]",,2,"[0.5, 4.0]",0.5822222222222223,5
"[13, 30]",0.1,2,"[1.0, 4.0]",0.5777777777777778,5
"[4, 40]",auto,6,"[1.0, 4.0]",0.5777777777777777,5
"[13, 30]",auto,2,"[1.0, 4.0]",0.5777777777777777,5
"[7, 30]",,2,"[0.5, 4.0]",0.5777777777777777,5
"[4, 40]",0.1,6,"[1.0, 4.0]",0.5733333333333335,5
"[13, 30]",,2,"[1.0, 4.0]",0.5733333333333334,5
"[4, 40]",0.1,4,"[1.0, 4.0]",0.5733333333333333,5
"[8, 13]",0.1,2,"[0.5, 4.0]",0.5733333333333333,5
"[4, 40]",,4,"[0.5, 4.0]",0.5688888888888888,5
"[8, 13]",0.5,2,"[0.5, 4.0]",0.5644444444444444,5
"[8, 13]",0.1,2,"[1.0, 4.0]",0.5644444444444444,5
"[8, 13]",auto,2,"[0.5, 4.0]",0.5644444444444444,5
"[4, 40]",,4,"[1.0, 4.0]",0.56,5
"[4, 40]",auto,4,"[1.0, 4.0]",0.5599999999999999,5
"[4, 40]",0.5,8,"[1.0, 4.0]",0.5599999999999999,5
"[7, 30]",0.1,2,"[1.0, 4.0]",0.5555555555555556,5
"[4, 40]",auto,8,"[1.0, 4.0]",0.5511111111111111,5
"[8, 13]",0.5,2,"[1.0, 4.0]",0.5511111111111111,5
"[8, 13]",auto,2,"[1.0, 4.0]",0.5511111111111111,5
"[4, 40]",auto,2,"[0.5, 4.0]",0.5511111111111111,5
"[7, 30]",0.1,2,"[0.5, 4.0]",0.5466666666666666,5
